date,product_name,stock_level,reorder_point,supplier,unit_cost,category
2024-01-01,Laptop Pro,150,50,TechCorp,800,Electronics
2024-01-01,Smart TV 55",85,30,ViewTech,600,Electronics
2024-01-01,Coffee Maker,200,75,HomeAppliances,120,Appliances
2024-01-01,Office Desk,45,20,FurnCo,250,Furniture
2024-01-02,Laptop Pro,145,50,TechCorp,800,Electronics
2024-01-02,Smart TV 55",80,30,ViewTech,600,Electronics
2024-01-02,Coffee Maker,185,75,HomeAppliances,120,Appliances
2024-01-02,Office Desk,42,20,FurnCo,250,Furniture
2024-01-03,Laptop Pro,140,50,TechCorp,800,Electronics
2024-01-03,Smart TV 55",75,30,ViewTech,600,Electronics
